,CourseID,CourseName,Credits,Prerequisites,CoRequisites,Description,Availability,Repeatability,CourseFees
1065,EEX 5852, Practicum in Applied Behavior Analysis I,3, EEX5612,N/A," In this initial practicum course, students will learn basic behavior analytic skills and practices that align with content in lecture coursework. This course will provide supported opportunities for students to use behavioral measurement strategies, basic behavioral intervention strategies, and entry level consultative skills. Additionally, students will learn skills related to professionalism and ethical implementation of behavioral strategies in diverse applied and clinical contexts.",N/A,N/A,N/A
1066,EEX 6025, Issues and Trends in Exceptional Education and Services,3," EEX 3202, EEX 4604, and EEX 5053",N/A," This course is designed for advanced, in-depth study of specific controversial topics in the field of disability and related services concerning exceptional populations.",N/A,N/A,N/A
1067,EEX 6052, Curriculum and Instruction for Learners with Exceptionalities,3," EEX 3202. This course addresses the nature and needs of students with emotional handicaps, specific learning disabilities and mental handicaps. Also considered are the development of Individual Education Plans (IEP's) and the adaptation of curriculum and materials to meet the need of these students with varying exceptionalities. Field experience is required.",N/A,3 credits,N/A,N/A,N/A
1068,EEX 6063, Preschool Programming for the Exceptional Child,3,N/A,N/A,"This course is designed to teach the development and implementation of individualized instruction for the preschool handicapped child, birth through five years of age, with emphasis on developmentally appropriate curricula, methods, and techniques.",N/A,N/A,N/A
1069,EEX 6203, Developmental Variations,3,N/A,N/A,"This course addresses comparative child growth and development related to the learning and functioning of exceptional children. Interaction of medical, nutritional, and pharmaceutical interventions is a focus, as well as psycho-educational analysis of learning and development.",N/A,N/A,N/A
1070,EEX 6225, Special Education Generic Competencies: Laboratory in Evaluation,3,N/A,N/A,An extension of the student's evaluation skills to include attention to specialized tests in specific disability areas. Emphasis will be placed on translating test results into educational practice as well as stressing the skills necessary for evaluating ongoing programs.,N/A,N/A,N/A
1071,EEX 6234, Teaching Students with Moderate and Severe Disabilities,3," EEX 3202, EEX 5053. This course focuses on instructional assessment and practices for teaching students with moderate and severe disabilities. The course includes a survey of the instructional knowledge-base assessment, curriculum, methods, and procedures along with a series of workshop style training sessions and structured field experiences.",N/A,3 credits,N/A,N/A,N/A
1072,EEX 6239, Preschool Assessment of Exceptional Child,3," EEX 6203. This course addresses both the formal and informal assessment of preschool handicapped children, birth through five years of age, with emphasis on developmentally appropriate evaluation materials and techniques. Field experience required.",N/A,3 credits,N/A,N/A,N/A
1073,EEX 6256, Literacy I for Students with Exceptionalities,3,N/A,N/A,"This is the first of three courses in literacy for students with exceptionalities. The purpose of this course is to prepare teachers to assess and instruct students in the six components of reading (i.e., comprehension, oral language, phonological awareness, phonics, fluency, and vocabulary) and writing for learners with exceptionalities who are emergent and early literacy learners.",N/A,N/A,N/A
1074,EEX 6259, Literacy II for Students with Exceptionalities,3, EEX6256 Literacy I for Students with Exceptionalities,N/A," This is the second course intended to prepare students for a reading endorsement. The purpose of this course is to prepare teachers to assess and instruct students in the six components of reading (i.e., comprehension, oral language, phonological awareness, phonics, fluency, and vocabulary) for learners with exceptionalities who are reading and writing at and above the intermediate level.",N/A,N/A,N/A
1075,EEX 6283," Social, Personal, and Career Skills for Exceptional Students",3,N/A,N/A,"A course on teaching social and personal skills for exceptional students with emphasis on employability skills, career awareness, and transition planning for adult living.",N/A,N/A,N/A
1076,EEX 6301, Research in Special Education,13,N/A,N/A,"A course designed to allow advanced students to analyze, interpret, and apply research findings in the classroom setting. May be repeated up to 12 credits.",N/A,N/A,N/A
1077,EEX 6402," Communication, Collaboration, and Consultation Skills for Special Education",3,N/A,N/A,"This course will be focused on the acquisition of knowledge and skills in communication, collaboration, and consultation and applying such knowledge and skills to interactions special educators have with general educators, administrators, parents, agency personnel and other stakeholders in the lives of individuals with disabilities. EEX 6402 includes the examination of specific techniques, related media, and experiences designed to equip special education teachers with skills to collaborate with school and community professionals and families to provide a necessary range of services to students.",N/A,N/A,N/A
1078,EEX 6615, Implementation of Evidence Based Behavioral Intervention,3, EEX6636,N/A," Behavior analysts are research practitioners, meaning that they engage in research-informed practice and use measurement and single case research methods to evaluate the effects of intervention on client behavior. A fundamental skill for behavior analysts is the implementation and evaluation of evidence-based behavioral interventions using methods based in single case research design. In this course, students will implement an intervention plan and monitor the effects of the intervention on client behavior. Students will engage in data-based decision making, measurement of social validity, and measurement of fidelity of implementation.",N/A,N/A,N/A
1079,EEX 6617, Comprehensive Behavioral Intervention for Skill Acquisition,3, EEX5308,N/A," Applied behavior analysis is the application of behavioral principles to change socially significant behavior. A major area of focus in research and practice related to applied behavior analysis is in intervention to teach new skills and maintain established skills. In this class, students will learn theory and practice related to the development and implementation of comprehensive behavioral intervention that targets skill acquisition. Specific content includes: best practice in comprehensive assessment, instructional design, behavioral strategies to develop and maintain target skills and behaviors.",N/A,N/A,N/A
1080,EEX 6625, Applied Behavior Analysis in Ed. and Performance Management,3,N/A,N/A,"A course on educational management of exceptional students with emphasis on classroom organization, behavior management and consultation skills.",N/A,N/A,N/A
1081,EEX 6627, Supervision and Case Management in Applied Behavior Analysis and Education,3," EEX 5612, EEX6636, EEX6617, EEX6664, and EEX5308",N/A," A key responsibility of behavior analysts and educators is case management, which includes supervision and training. In this class, students will learn evidence-based behavioral practices related to supervision, strategies for coaching and training personnel, and skills related to case management within educational and therapeutic systems.",N/A,N/A,N/A
1082,EEX 6635, Positive Behavioral Interventions and Supports,3,N/A,N/A,"Challenging behavior represents a major area of concern for individuals, their families, and the professionals who work with them. In this class, students will learn the theory and practice to support the implementation of positive behavioral supports and interventions to prevent and address challenging behavior. Specific content includes tiered systems of support, functional behavior assessment, behavior intervention planning, contextual behavioral assessment and intervention, and working within systems to prevent and address challenging behavior at the individual level.",N/A,N/A,N/A
1083,EEX 6636, Research-Based Design for Behavioral Intervention,3, EEX5308 and EEX6853,N/A," Behavior analysts are research practitioners, meaning that they engage in research informed practice and use measurement and single case research methods to evaluate the effects of intervention on client behavior. A fundamental skill for behavior analysts is the ability to identify, interpret, and apply research to inform intervention development. In this course, students will use existing literature to design an intervention and a plan to collect data on that intervention to evaluate progress.",N/A,N/A,N/A
1084,EEX 6664, Advanced Practices in Applied Behavior Analysis,3, EEX5308 and EEX6635,N/A," Behavior analysts must address complex behaviors in diverse settings. This course will build upon basic behavioral concepts, principles, and practices to prepare students to meet the diverse, and often complex, needs of their clients. Content covered in this course will include behavioral theory, verbal behavior, functional analysis, and contemporary issues of behavioral theory and practice.",N/A,N/A,N/A
1085,EEX 6668, Behaviorism,3, EEX 5612,N/A,This course will address content specific to the Behavior Analyst Certification Board (BACB) or Association for Behavior Analysis (ABAI) Task List.,N/A,N/A,N/A
1086,EEX 6669, Organizational Behavior Management,3, EEX5612,N/A,This course will address content specific to the Behavior Analyst Certification Board (BACB) or Association for Behavior Analysis International (ABAI) Task List,N/A,N/A,N/A
1087,EEX 6732, Facilitation of Parent Interaction,3,N/A,N/A,"A course on families of handicapped students and the relationship between the family and the educational professional. Emphasis is placed on family systems theory, community resources, case management, and transition.",N/A,N/A,N/A
1088,EEX 6747, Ethics and Professionalism in Applied Behavior Analysis and Exceptional Student Education,3, EEX6627,N/A," Ethical and professional behavior are essential to practice as a behavior analyst. In this class, students will become acquainted with the Ethics Code for Behavior Analysts© and will relate the Ethics Code to ethical guidelines in related educational fields. Students will engage in ethical decision making, using core principles that behavior analysts should (a) benefit others, (b) treat others with compassion, dignity, and respect, (c) behave with integrity, and (d) ensure their own competence.",N/A,N/A,N/A
1089,EEX 6841, Practicum in Special Education,39, Permission of program faculty.,N/A," For students using this course for an internship, permission of faculty requires the recommendation of three full time faculty members in the Special Education Program. Supervised field experience in specific disability areas.",N/A, May be repeated up to 24 credits., $36
1090,EEX 6848, Literacy Practicum in Exceptional Student Education,3,N/A,N/A,"This practicum will enable students to demonstrate their knowledge of the components of reading, assessments of those components, and the implementation of a comprehensive, research-based reading plan for the instruction of all students. Students will demonstrate their ability to engage in systematic problem-solving processes related to literacy instruction.",N/A,N/A,N/A
1091,EEX 6849, Practicum in Exceptional Student Education: Professional,3,N/A,N/A,"In consonance with the conceptual framework, this course is focused on the acquisition of the knowledge, skills, instructional and cognitive strategies, and dispositions relevant to key aspects of conceptual teaching and learning. It embraces the vision of the College of Education and Human Services that enables candidates to be active leaders and responsive partners in the study of teaching and learning within diverse learning communities. This course encourages candidates to be reflective, analytic practitioners who are well grounded in content and pedagogy.",N/A,N/A,N/A
1092,EEX 6853, Practicum in Applied Behavior Analysis II,3, EEX5852,N/A," In this second practicum course, students will apply functional assessment and intervention strategies to address challenging behavior. This course will provide supported opportunities for students to complete indirect and direct behavioral assessment data, engage in data analysis and interpretation, and apply their assessment findings to intervention design and implementation. Additionally, students will learn skills related to professionalism and ethical implementation of behavioral strategies in diverse applied and clinical contexts.",N/A,N/A,N/A
1093,EEX 6854, Practicum in Applied Behavior Analysis III,3, EEX6853,N/A," In this third practicum course, students will use behavioral assessment and teaching strategies to promote socially significant skill development. This course will provide supported opportunities for students to complete comprehensive behavioral assessment, engage in data analysis and interpretation, identify socially significant target behaviors for intervention, and apply their assessment findings to intervention design and implementation. Additionally, students will learn skills related to professionalism and ethical implementation of behavioral strategies in diverse applied and clinical contexts.",N/A,N/A,N/A
1094,EEX 6856, Practicum in Applied Behavior Analysis IV,3, EEX6854,N/A," In this third practicum course, students will use research-based behavioral strategies for supervision and case management. This course will provide supported opportunities for students to develop and implement behavioral skills training programs, monitor staff behavior, and provide meaningful performance feedback using best practice coaching methods. Additionally, students will learn skills related to professionalism and ethical implementation of behavioral strategies in diverse applied and clinical contexts.",N/A,N/A,N/A
1095,EEX 6911, Independent Study and Research,13, Permission required. Supervised readings and utilization of current research findings in special education. May be repeated up to 12 credits.,N/A,v. 1-3 credits,N/A,N/A,N/A
1096,EEX 6936, Advanced Seminar: Current Topics in Special Education,318,N/A,N/A,This course is designed for advanced graduate students to engage in an in-depth study of topics in disability-specific related areas. May be repeated up to 18 credits.,N/A,N/A,N/A
1097,EGN 1001C, Introduction to Engineering I,2,N/A, MAC 1147 or any higher level MAC course (2XXX).," An introduction to the broad field of engineering from the process of invention and design to the societal impact of the engineering profession. Students will explore the fields of modern engineering through practical examples and hands on activities. Design activities will incorporate aspects from Civil, Electrical, and Mechanical Engineering.",N/A,N/A, $40
1098,EGN 3125, Surveying and Computer Aided Design,3,N/A,N/A,This course will provide students with hands-on experience in computer-aided design concepts and practices and basic and advanced surveying techniques.,N/A,N/A,N/A
1099,EGN 3203, Modern Computational Methods,3, MAP 2302 and COP 2220,N/A," This course covers linear algebra, numerical methods, and applications of these using a high-level programming language.",N/A,N/A,N/A
1100,EGN 3311, Statics,3," PHY 2048, PHY 2048L and MAC 2311.",N/A," This course covers the analysis of two and three dimensional force systems by vector algebra. Application of the principle of equilibrium to particles, rigid bodies, and simple structures are included. Friction, distributed forces, center of gravity, centoids, and moment of inertia are introduced. U.S. engineering and metric systems of units and applications are used.",N/A,N/A,N/A
1101,EGN 3321, Dynamics,3," EGN 3311, MAC 2313 , PHY 2049 , and PHY 2049L.",N/A," The kinematics of particles is introduced with topics such as rectilinear motion and curvilinear motion. The kinetics of particles is covered utilizing Newton's Second Law, energy and impulse-momentum principles. Kinematics of rigid bodies is included and covers translational and rotational motions. Kinetics of rigid bodies is also covered for translation, rotation and general plane motion.",N/A,N/A,N/A
1102,EGN 3331, Strength of Materials,3, EGN 3311,N/A," In this course the concept of stress and strain is covered and includes topics such as normal stress and strain, shear stress and strain, Hooke's Law, and stress transformation. Deformations in axially loaded members are included with some focus on statically indeterminate members. Torsionally loaded members and flexural members are covered. Shear and bending moment diagrams are emphasized with an introduction to member design. Deflection of beams and columns bucklings is introduced.",N/A,N/A,N/A
1103,EGN 4042, Problem Solving and Continuous Improvement Methods for Engineers,3, EGN 1001C and STA 3032,N/A," Application of problem identification, solution development and continuous improvement methods to real-life problems from community partners by using engineering tools and concepts is presented. Projects entail root cause analysis, developing multiple solutions and selection as well as implementation of the best solution for the needs of the client.",N/A,N/A,N/A
1104,EGN 6333, Advanced Mechanics of Materials,3, EGN 3331 Mechanics of Materials,N/A," This course will cover general theories of stress and strain, stress and strain transformations, and principal stresses and strains. The course will also cover octahedral shear stresses, introduction to elasticity and plasticity, introduction to constitutive behaviors, and introduction to yielding and failure criteria.",N/A,N/A,N/A
1105,EGN 6456, Advanced Engineering Analysis,3, Graduate standing,N/A," This course covers methods of analysis to applied engineering problems. The topics covered will include a review of vector calculus and linear algebra, analytical solutions and numerical integration of ordinary differential equations, introduction to finite element and finite difference methods, and an introduction to the solution of partial differential equations. Examples used in the course will be derived from the field of engineering. Students will be required to use computational tools for this course.",N/A,N/A,N/A
1106,EGN 6457, Advanced Research Methods for Engineers,3, Engineering graduate student status or instructor permission.,N/A," This course covers the application of statistical analyses to engineering problems. The course emphasizes theory and methods of conducting advanced research, including the scientific method.",N/A,N/A,N/A
1107,EGS 3038, Leadership for Engineers,1,N/A,N/A, This course uses a weekly seminar format with guest speakers and student presentations to understand the importance of leadership in the engineering profession and to develop leadership skills. A project is required.,N/A,N/A,N/A
1108,EGS 3065, Professional Issues in Engineering,3, Engineering standing,N/A," This course covers professional issues of engineering including communication; leadership, negotiations and influencing others; interacting with others; gender, diversity and inclusion; career development; legal considerations; adaptation and continuous education; and time management.",N/A,N/A,N/A
1109,EGS 4032, Engineering and Professional Issues,2, Acceptance in an engineering program in the School of Engineering at UNF.,N/A," The study of issues of importance to the engineering profession, the relationship of engineers to their profession and their industrial and business bases, and the importance of the results of their designs and analyses on their using communities will be covered in this course.",N/A,N/A,N/A
1110,EHD 3941, Deaf Education Field Practicum I,3,N/A,N/A, This field-based course will provide deaf education students an opportunity to observe and instruct students who are deaf or hard of hearing in a variety of settings. Deaf education students will interact with students and observe both their culture and use of language. This course will consist of periodic meetings to process the observation and field experiences.,N/A,N/A,N/A
1111,EHD 4013, Deafness and Diversity,3,N/A,N/A," This course is designed to prepare teacher candidates to work students who are deaf and diverse: deaf with disabilities (DWD; e.g., autism, intellectual disabilities) and/or students who are deaf or hard of hearing multilingual learners (DML). Students who are DML come from homes where their caregivers speak a language other than English, nor do they use American Sign Language. This course will address the complex issues and practices that are embedded in the working with families and service providers, identifying resources needed to best meet the needs of the learner, and understanding identification, placement, assessment, and intervention strategies for students who are Deaf and Diverse. Field experience required.",N/A,N/A,N/A
1112,EHD 4245, Language and Literacy Assessment & Instruction for DHH Students,3, ASL4131.,N/A, This course is focused on methods of language development assessment and instruction with deaf or hard of hearing (DHH) children. Students will develop an understanding of typical language development and the effects of hearing loss on the development of language. They will learn about informal and formal assessments of both through-the-air (signed or spoken) and written language and analyze language samples. They will then learn how to use assessments to plan and provide instruction aimed at facilitating the language acquisition and development of DHH students.,N/A,N/A,N/A
1113,EHD 4248, Foundation of Literacy Development Deaf/Hard of Hearing I,3," EHD 4311, EEX 4101, EHD 4245 Corequisite: EHD 4249. This course is designed to continue the development of necessary knowledge and skills to understand the development of literacy, through writing, reading, and signing in learners who are deaf or hard of hearing. Issues presented in this course are designed to complement content of the co-requisite course entitled ""Foundations of Literacy Development of Students who are Deaf or Hard of Hearing II"".",N/A,3 credits,N/A,N/A,N/A
1114,EHD 4261, Audiology and Speech Science,3," EHD 4311. A study of the physical characteristics of the speech and hearing mechanisms, the physical dimensions of sound, the psycho-acoustic aspects of sounds, and the relationships among these areas. Field experience required.",N/A,3 credits,N/A,N/A,N/A
1115,EHD 4263, Methods of Teaching Listening and Spoken Language to DHH Students,3, ASL 4131,N/A," The purpose of this course is to provide learners with the knowledge base to understand instructional methods of teaching deaf and hard of hearing students who use listening and spoken language. The areas to be covered include the anatomy and physiology of speech mechanisms, practical orthographic representations of speech, introductory phonetics and phonology, functional descriptions of speech sound production, and basic speech acoustics. Learners will also be trained in the assessment of speech, teaching sequence of speech skills, and specific strategies for the elicitation, development, transfer and maintenance.",N/A,N/A,N/A
1116,EHD 4270, Deaf Education Field Practicum III,3," ASL 2140, ASL 2150 and EHD 4940",N/A," This field-based course focuses on working with students who are deaf or hard of hearing who use advanced hearing and listening technologies in a variety of settings; in addition to those students who may not use hearing and listening technologies. Issues and trends related to teaching students with cochlear implants, digital hearing aids, bone-conduction hearing aids, advanced FM systems, and speech to text devices will be discussed. The importance of differentiated instruction and other instructional strategies will be presented. Field hours in a setting with student(s) who are deaf or hard of hearing is required to successfully complete this course.",N/A,N/A,N/A
1117,EHD 4290, Differentiating Literacy Instruction for Deaf and Hard of Hearing Students,3," EHD 4245, LAE 3210 and LEA 3211",N/A," This is the fourth language & literacy course in the deaf education program. It follows courses in the foundations of language and literacy development including methods, resources, strategies, and assessments for language and literacy teaching and learning. The pre-requisites include EHD 4245 Language and Literacy Assessment and Instruction, LAE 3210 Foundations of Literacy, and LAE 3211 Literacy Instruction & Assessment. This course focuses on differentiating reading and writing instruction for deaf and hard of hearing (DHH) students and requires the application of skills in a field component with DHH students. It will enable teacher of the deaf candidates to assess DHH students using a wide variety of literacy assessments, to identify strengths and opportunities for growth, and to provide targeted instruction and intervention aimed at individual objectives.",N/A,N/A,N/A
1118,EHD 4291, Content Area Curriculum & Instruction for DHH Students,3, ASL4131,N/A," This course is designed to give learners the opportunity to learn about pedagogy and curriculum as related to educating students who are Deaf or hard of hearing. Learners completing this course satisfactorily will be able to plan yearly, monthly, weekly, and daily lessons using a variety of formats. Learners will be introduced to instructional skills in the areas of assessment, planning, implementation, and evaluation. In addition, learners will be able to practice many of the technical skills needed to prepare instructional materials for the classroom. The learner will also be introduced to the development and adaptation of curriculum materials and instructional procedures in reading, mathematics, science, and social studies to fit the unique educational needs of students who are deaf or hard of hearing.",N/A,N/A,N/A
1119,EHD 4293, Reading Instruction and Assessment for Students who are Deaf or Hard of Hearing,3, EHD 4245, EHD 4940," he course will provide learners with both a theoretical foundation of teaching reading to students with hearing loss and practice experiences. The reading, discussions, and guest lectures will provide learners with practical strategies. Learners will engage in reading instruction with K-12 students to practice skills learned in the university classroom. In this course learners will be able to describe the foundations of reading (i.e., cognition and language development) and implement assessments, including reading inventories. The learners will be able to describe current reading theories and models of reading, describe literacy development of students with hearing loss and plan and implement a literacy program for deaf students.",N/A,N/A,N/A
1120,EHD 4311, Psychology and Education of the Deaf,3,N/A,N/A,"An introduction to the nature and needs of students who are deaf or hard of hearing with attention to identification, characteristics, assessment and intervention. The course will include the history and philosophy of deaf education. Field experience required.",N/A,N/A,N/A
1121,EHD 4904, Independent Study in Deaf Education,14,N/A,N/A, This course permits the learner to investigate selected topics in a specialized area (deafness).,N/A,N/A,N/A
1122,EHD 4940, Deaf Education Field Practicum II,3, ASL2140 and ASL 2150,N/A, This field-based course will provide deaf education majors an opportunity to observe and teach deaf and hard of hearing students in a variety of settings. Deaf education majors will interact with deaf or hard of hearing students and observe both their culture and use of language. This course will consist of periodic meetings to reflect on experiences in the field and bridge theory with practice.,N/A,N/A,N/A
1123,EHD 4942, Deaf Education Literacy Practicum,3,N/A, EHD 4944," This is the fifth and final language & literacy course in the deaf education program. Students must have completed all of their coursework in the deaf education program excepting this course and its co-requisite. In this culminating practicum, teacher of the deaf candidates will demonstrate knowledge of the components of reading, as well as assessments and data analysis, to implement a comprehensive research-based reading plan of instruction for all students.",N/A,N/A,N/A
1124,EHD 4943, Deaf Education International Practicum,2, EHD 3941,N/A," This course will provide Deaf Education majors an opportunity to observe, assist, and teach students who are deaf and hard of hearing in an educational place setting outside of Florida. Students will be expected to complete hours in a variety of settings with students who are deaf or hard of hearing and observe their culture and participate in the use of the students' mode of communication, be it verbal or signed languages. This course will consist of periodic meetings to process the observation and field experiences. Placements may take place in public, private, and charter schools with qualified personnel.",N/A, This course may be repeated for a maximum of 4 credit hours.,N/A
1125,EHD 4944, Deaf Education Internship,9," EHD 4245, EHD 4261, EHD 4311, EEX 3202, EEX 4281, EEX 3250, TSL 3080, TSL 4340, LAE 3210, EHD 3000, EHD 4940, EHD 4263, ASL 4205, EHD 4293, and EHD 4291", EHD 4942, This course will provide students with the opportunity to teach students who are deaf and hard of hearing in a classroom. Students are expected to demonstrate teaching competencies under the observation of a cooperating master teacher of the deaf and their college internship supervisor. Students must complete all of the courses in the program of study prior to enrolling in this course in order to complete the degree requirements., Every semester,N/A,N/A
1126,EHD 6361, Math/Science/Social Studies Instruction for the Deaf,3," EHD 5341. In this course, students will learn about curriculum trends, teaching techniques, and appropriate media for teaching math, science, social studies to students who are deaf or hard of hearing. Students will learn about current curricula in use with these students. Field experience required.",N/A,3 credits,N/A,N/A,N/A
1127,EIN 3003, Fundamentals of Industrial Engineering,3, STA3032 and EGN1001C,N/A," This course introduces students to fundamental concepts in industrial engineering and manufacturing management. First, the course will survey fundamental topics in supply chain management and logistics with specific attention to the interplay between manufacturing systems, process planning, and the flow of resources. The course also covers topics such as scheduling, quality control, forecasting, queueing theory, data driven production control, engineering and manufacturing management, and plant operations.",N/A,N/A,N/A
1128,EIN 3304, Thermofluids for Manufacturing,3, EGN3321 and CHM2045,N/A," This course introduces the areas of thermodynamics, fluid dynamics, and heat and mass transfer as applicable to manufacturing settings. The topics of this course include introductory thermodynamics, thermodynamic cycles and cycle analysis, fluid statics and dynamics, mechanisms of heat transfer, and applications of heating and cooling to manufacturing systems and hardware.",N/A,N/A,N/A
1129,EIN 3390, Materials Processing,3, CHM2045 and EMA3010,N/A, This course introduces the methods by which raw and precursor materials are created and by which end use products are fabricated. Students will develop an understanding of how the structure-processing –property relationship of given materials informs manufacturing process selection and product design.,N/A,N/A,N/A
1130,EIN 3621, Computer Aided Manufacturing,3,N/A,N/A," This course introduces the use of modern computing hardware and software in manufacturing scenarios. The course teaches the application of computer aided methods to engineering design and manufacturing production. These methods include Product Data Management (PDM), CAD/CAM, PLCs and ladder logic in manufacturing settings, and the use of modern simulation software for virtual prototyping.",N/A,N/A,N/A
1131,EIN 3800, Subtractive Manufacturing,3," EGN3321, EML4320C and EIN3390 Materials Processing",N/A," Building on the fundamentals of machining and metal cutting, this course furthers the theoretical and applied knowledge of subtractive manufacturing techniques such as: milling, turning, grinding, electric discharge machining, plasma cutting, water-jet cutting, and surface modification. Further, this course reviews the interplay between material selection, engineering design, subtractive manufacturing methods, tooling, machinery, and machining economics.",N/A,N/A,N/A
1132,EIN 3800L, Subtractive Manufacturing Laboratory,1,N/A, EIN3800," In this course operation and technique of subtractive manufacturing methods are introduced using subtractive manufacturing machinery such as mills, lathes, grinders, electric discharge machines, and surface modification equipment. Advanced manufacturing techniques and their operation will be introduced including CNC milling, CNC turning, CNC routing, and water-jet cutting.",N/A,N/A,N/A
1133,EIN 3801, Additive and Netshape Manufacturing,3, EIN3800,N/A," Building on the fundamentals of additive and net shape manufacturing, this course expands on the theoretical and applied principles of techniques such as casting, molding, extrusion, rolling, forging, 3D printing, metallization, and additive surface treatments. Further, this course reviews the interplay between material selection, engineering design, additive manufacturing method, machinery, and production economics.",N/A,N/A,N/A
1134,EIN 3801L, Additive and Netshape Manufacturing Laboratory,1,N/A, EIN3801," This course focuses on the operation and techniques of additive and net shape manufacturing methods. Students will design and produce parts to meet prescribed technical specifications through methods including casting, 3D printing, metallization, and surface treatments such as anodizing.",N/A,N/A,N/A
1135,EIN 4519, Manufacturing Systems Integration,3, EML4320C and STA3032,N/A," This course introduces enterprise level analysis of the planning, evaluation, deployment, and integration of manufacturing theory and methods in production settings. It emphasizes the plant-level interrelationships between manufacturing methods, human factors, and process monitoring and control. Further, this course surveys current and emerging technologies, techniques, and strategies that can increase a manufacturing enterprise’s responsiveness to volatile markets and enhance the use of internal engineering and business to increase profitability. Topics include engineering product design for manufacturability, production planning and control, lean manufacturing, mass customization, reconfigurable manufacturing systems, and supply chain resource management.",N/A,N/A,N/A
1136,EIN 4602C, Control of Machinery for Manufacturing,3, EGN3321 and EIN3621,N/A," This course introduces the theory and application of feedback control in automated manufacturing systems. The topics of the course include: (1) modeling and analysis of modern manufacturing hardware such as robots, machining centers, sensors, and actuators, (2) the theory and application of feedback control algorithms such as on/off, PID, lead/lag compensation, and state control in manufacturing systems, and (3) the implementation of control logic on programmable logic controller (PLC) systems.",N/A,N/A,N/A
1137,EIN 4949, Advanced Manufacturing Internship,13, Departmental Permission and Advanced Manufacturing Major,N/A, Students will participate in practical engineering work under industrial supervision. Approval of both the sponsoring employer and department is required prior to enrolling in this course.,N/A, This course may be taken for up to 3 credits.,N/A
1138,ELD 4144, Instructional Strategies for Individuals with Learning Disabilities,2,N/A,N/A,"This course addresses instructional strategies for teaching students with specific learning disabilities to include specialized approaches to teaching basic skills, metacognitive skills, and adaptation of curriculum and materials. Field experience required.",N/A,N/A,N/A
1139,ELD 4230, Curriculum for Students with Learning Disabilities,2, ELD 3011. This course provides an analysis of curricula appropriate for learning disabled students at all educational levels. Use and adaptation of curricular materials will be addressed as well as lesson and unit planning.,N/A,2 credits,N/A,N/A,N/A
1140,EMA 3010, Introduction to Materials Science and Engineering,3," CHM2045 (“C"" or better), CHM2045L (“C” or better), and MAC2311 Calculus I (“C” or better)",N/A," This lecture based course covers the fundamentals of materials science and the application of materials knowledge to engineering design. Topics covered include the bonding and structure of metals, ceramics and polymers, physical and mechanical behaviors of materials, phase equilibria, phase transformations and microstructural evolution.",N/A,N/A,N/A
1141,EMA 4502, Materials Characterization,3, EMA 3010,N/A," The analyses of crystal structures, microstructures and chemical composition are presented. Students will learn the physical principles behind optical microscopy, electron and x-ray diffraction and electron microscopy for the purpose of identifying materials and assessing their properties.",N/A,N/A, $40
1142,EMA 4704, Materials Selection,3, EMA 3010,N/A," This course exposes students to an algorithm for proper materials selection that will guide them in design activities. The course focuses on the assessment of the demands of specific design criteria including, but not limited to mechanical properties, corrosion, interaction with the service environment as well as economic and social factors.",N/A,N/A, $75
1143,EMA 5104, Advanced Materials Principles I,3, Acceptance into the MS program in Materials Science and Engineering or permission of instructor,N/A," This course covers the structure of materials from the atomic to the microstructural level, and the relationship of structure to the thermal, mechanical, electrical, optical, and magnetic behavior of materials. Fundamental thermodynamics, kinetics, and phase stability are presented.",N/A,N/A,N/A
1144,EMA 5114, Advanced Materials Principles II,3, EMA5104 Advanced Materials Principles I,N/A," Specific classes of materials including metals, polymers, ceramics, semiconductors, and composites are examined with respect to their structure-processing-property relationships and unique engineering applications. Special emphasis will be placed on high-performance materials, emerging processing methods, and high-tech applications.",N/A,N/A,N/A
1145,EMA 5504, Materials Characterization,3, Acceptance into the MS program in Materials Science and Engineering or permission of instructor,N/A," Methods for the assessment of chemical composition and atomic level structures are presented. Theory of photon and electron probe production and sample interaction are explored in depth. Topics include scanning probe microscopies, optical microscopies, electron microscopy, x-ray fluoroscopy and tomography, diffraction, and spectroscopic methods.",N/A,N/A,N/A
1146,EMA 5814, Modeling and Simulation of Materials,3, Acceptance into the MS program in Materials Science and Engineering or permission of instructor,N/A," This course introduces the general computing and programming skills that are necessary to perform numerical computations and simulations in materials science and engineering. This includes an introduction to simulation methods for continua including finite differences and finite elements, as well as probabilistic approaches such as the Monte Carlo method. Also covered are techniques for simulating material properties based on atomistic structure such as density functional theory and molecular dynamics.",N/A,N/A,N/A
1147,EMA 5994C, Modeling and Simulation of Materials,3, Acceptance into the MS program in Materials Science and Engineering or permission of instructor,N/A," This course introduces the general computing and programming skills that are necessary to perform numerical computations and simulations in materials science and engineering. This includes an introduction to simulation methods for continua including finite differences and finite elements, as well as probabilistic approaches such as the Monte Carlo method. Also covered are techniques for simulating material properties based on atomistic structure such as density functional theory and molecular dynamics.",N/A,N/A,N/A
1148,EMA 6971, Graduate Thesis Research,19, Acceptance into the MS program in Materials Science and Engineering,N/A, Students must complete a total of 17 credit hours of Graduate Thesis Research in partial fulfillment of the requirements for the MS degree in Materials Science and Engineering. Students will conduct directed independent research under the advisement of their graduate advisor and thesis committee.,N/A,N/A,N/A
